symbol,closed_trades,realized_pnl,charges,pat
NIFTY02JAN2523750CE,1,-23562.15,50.0,-23612.15
NIFTY02JAN2523750PE,1,7833.375,50.0,7783.375
NIFTY30JAN25FUT,41,-27792.700999999997,8200.0,-35992.701
NIFTY09JAN2523600CE,1,3334.125,50.0,3284.125
NIFTY09JAN2523600PE,1,-2787.975,50.0,-2837.975
NIFTY16JAN2523350CE,1,2191.575,50.0,2141.575
NIFTY16JAN2523350PE,1,-276.9,50.0,-326.9
NIFTY23JAN2523100CE,1,-3743.25,50.0,-3793.25
NIFTY23JAN2523100PE,1,2581.125,50.0,2531.125
NIFTY30JAN2523150PE,1,9107.1,50.0,9057.1
NIFTY30JAN2523150CE,1,2567.475,50.0,2517.475
